,Features,Oracle,MySQL,Microsoft SQL Server,PostgreSQL,MongoDB,IBM Db2,Redis,Elasticsearch,SQLite,Microsoft Access,Cassandra,MariaDB,Splunk,Hive,Teradata,Microsoft Azure SQL Database,Amazon DynamoDB,Neo4j,SAP Adaptive Server,SAP HANA
0,Description,Widely used RDBMS,Widely used open source RDBMS,Microsofts flagship relational DBMS,"Widely used open source RDBMS Developed as objectoriented DBMS (Postgres), gradually enhanced with 'standards' like SQL",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,"Common in IBM host environments, 2 different versions for host and Windows/Linux","In-memory data structure store, used as database, cache and message broker Redis focuses on performance so most of its design decisions prioritize high performance and very low latencies.","A distributed, RESTful modern search and analytics engine based on Apache Lucene Elasticsearch lets you perform and combine many types of searches such as structured, unstructured, geo, and metric","Widely used embeddable, in-process RDBMS","Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries. The Access frontend is often used for accessing other datasources (DBMS, Excel, etc.)",Wide-column store based on ideas of BigTable and DynamoDB Optimized for write access,"MySQL application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",Analytics Platform for Big Data,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",A hybrid cloud data analytics software platform (Teradata Vantage),Database as a Service offering with high compatibility to Microsoft SQL Server,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",Open source graph database,The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class RDBMS,"In-memory, column based data store. Available as appliance or cloud service"
1,Primary database model,Relational DBMS,Relational DBMS Key/Value like access via memcached API,Relational DBMS,"Relational DBMS with object oriented extensions, e.g.: user defined types/functions and inheritance. Handling of key/value pairs with hstore module.",Document store,Relational DBMS Since Version 10.5 support for JSON/BSON documents compatible with MongoDB,"Key-value store Multiple data types and a rich set of operations, as well as configurable data expiration, eviction and persistence",Search engine,Relational DBMS,Relational DBMS,Wide column store,Relational DBMS,Search engine,Relational DBMS,Relational DBMS,Relational DBMS,Document storeKey-value store,Graph DBMS,Relational DBMS,Relational DBMS
2,Secondary database models,Document storeGraph DBMS with Oracle Spatial and GraphRDF store with Oracle Spatial and GraphSpatial DBMS with Oracle Spatial and Graph,Document storeSpatial DBMS,Document storeGraph DBMSSpatial DBMS,Document storeSpatial DBMS,"Spatial DBMSSearch engine integrated Lucene index, currently in MongoDB Atlas only.","Document storeRDF store in Db2 LUW (Linux, Unix, Windows)Spatial DBMS with Db2 Spatial Extender",Document store with Redis ModulesGraph DBMS with Redis ModulesSpatial DBMSSearch engine with Redis ModulesTime Series DBMS with Redis Modules,Document storeSpatial DBMS,,,,Document storeGraph DBMS with OQGraph storage engineSpatial DBMS,,,Document storeGraph DBMSSpatial DBMSTime Series DBMS,Document storeGraph DBMSSpatial DBMS,,Spatial DBMS,Spatial DBMS with Boeing's Spatial Query Server,"Document storeGraph DBMS with SAP Hana, Enterprise EditionSpatial DBMS"
3,DB-Engines Ranking measures the popularity of database management systemsTrend Chart,Score1321.73Rank#1 Overall#1 Relational DBMS,Score1254.83Rank#2 Overall#2 Relational DBMS,Score1015.30Rank#3 Overall#3 Relational DBMS,Score549.29Rank#4 Overall#4 Relational DBMS,Score462.39Rank#5 Overall#1 Document stores,Score156.01Rank#6 Overall#5 Relational DBMS,Score154.15Rank#7 Overall#1 Key-value stores,Score152.34Rank#8 Overall#1 Search engines,Score122.64Rank#9 Overall#6 Relational DBMS,Score118.14Rank#10 Overall#7 Relational DBMS,Score113.63Rank#11 Overall#1 Wide column stores,Score94.45Rank#12 Overall#8 Relational DBMS,Score86.93Rank#13 Overall#2 Search engines,Score76.04Rank#14 Overall#9 Relational DBMS,Score71.43Rank#15 Overall#10 Relational DBMS,Score70.88Rank#16 Overall#11 Relational DBMS,Score68.89Rank#17 Overall#2 Document stores#2 Key-value stores,Score52.32Rank#18 Overall#1 Graph DBMS,Score52.17Rank#19 Overall#12 Relational DBMS,Score51.00Rank#20 Overall#13 Relational DBMS
4,Website,www.oracle.com/­database,www.mysql.com,www.microsoft.com/­en-us/­sql-server,www.postgresql.org,www.mongodb.com,www.ibm.com/­analytics/­db2,redis.io,www.elastic.co/­elasticsearch,www.sqlite.org,www.microsoft.com/­en-us/­microsoft-365/­access,cassandra.apache.org,mariadb.com Site of MariaDB Corporationmariadb.org Site of MariaDB Foundation,www.splunk.com,hive.apache.org,www.teradata.com,azure.microsoft.com/­en-us/­services/­sql-database,aws.amazon.com/­dynamodb,neo4j.com,www.sap.com/­products/­sybase-ase.html,www.sap.com/­products/­hana.html
5,Technical documentation,docs.oracle.com/­en/­database,dev.mysql.com/­doc,docs.microsoft.com/­en-US/­sql/­sql-server,www.postgresql.org/­docs,docs.mongodb.com/­manual,www.ibm.com/­support/­knowledgecenter/­SSEPGG,redis.io/­documentation,www.elastic.co/­guide/­en/­elasticsearch/­reference/­current/­index.html,www.sqlite.org/­docs.html,developer.microsoft.com/­en-us/­access,cassandra.apache.org/­doc/­latest,mariadb.com/­kb/­en/­library,docs.splunk.com/­Documentation/­Splunk,cwiki.apache.org/­confluence/­display/­Hive/­Home,docs.teradata.com,docs.microsoft.com/­en-us/­azure/­azure-sql,docs.aws.amazon.com/­dynamodb,neo4j.com/­docs,help.sap.com/­viewer/­product/­SAP_ASE,help.sap.com/­hana
6,Developer,Oracle,"Oracle since 2010, originally MySQL AB, then Sun",Microsoft,PostgreSQL Global Development Group www.postgresql.org/­developer,"MongoDB, Inc",IBM,Salvatore Sanfilippo Development sponsored by Redis Labs,Elastic,Dwayne Richard Hipp,Microsoft,"Apache Software Foundation Apache top level project, originally developped by Facebook","MariaDB Corporation Ab (MariaDB Enterprise), MariaDB Foundation (community MariaDB Server) The lead developer Monty Widenius is the original author of MySQL",Splunk Inc.,Apache Software Foundation initially developed by Facebook,Teradata,Microsoft,Amazon,"Neo4j, Inc.","SAP, Sybase",SAP
7,Initial release,1980,1995,1989,"1989 1989: Postgres, 1996: PostgreSQL",2009,1983 host version,2009,2010,2000,1992,2008,2009,2003,2012,1984,2010,2012,2007,1987,2010
8,Current release,"19c, February 2019","8.0.23 , January 2021","SQL Server 2019, November 2019","13.2 , February 2021","4.4.4 , February 2021","12.1, October 2016","6.2.1 , March 2021","7.8.0, June 2020","3.35.2 (17 March 2021), March 1941","1902 (16.0.11328.20222), March 2019","3.11.10 , February 2021","10.5.9 , February 2021",,"3.1.2, August 2019","Teradata Vantage 1.0 MU2, January 2019",V12,,"4.2.3, January 2021",16.0,"2.0 SPS05 (June 26, 2020), June 2020"
9,License Commercial or Open Source,commercial restricted free version is available,Open Source GPL version 2. Commercial licenses with extended functionallity are available,commercial restricted free version is available,Open Source BSD,Open Source MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,commercial free version is available,"Open Source BSD 3-Clause, commercial license available",Open Source Apache Version 2; Elastic License,Open Source Public Domain,commercial Bundled with Microsoft Office,Open Source Apache version 2,"Open Source GPL version 2, commercial enterprise subscription available",commercial Limited free edition and free developer edition available,Open Source Apache Version 2,commercial,commercial,commercial free tier for a limited amount of database operations,"Open Source GPL version3, commercial licenses available",commercial,commercial
